Handle,Title,Body (HTML),,Type,Published
w9536r-seamless-delight-high-neck-bra-red-hot-summer,,,,,
w9536r-seamless-delight-high-neck-bra-red-hot-summer,,,,,
w9536r-seamless-delight-high-neck-bra-red-hot-summer,,,,,
w9536r-seamless-delight-high-neck-bra-red-hot-summer,,,,,
w3637r-mesh-haute-summer-long-sleeve-black,Mesh Haute Summer Long Sleeve - Black,"<p>This must-have mesh is everything! The Mesh Haute Summer Long Sleeve is such a dream with lasercut mesh details for plenty of room to breathe in practice or on the street. Sport a fave Alo bra underneath for a perfect pairing.</p>
<ul>
<li>Action-ready jacquard mesh</li>
<li>Lasercut mesh details</li>
<li>Long-sleeve knit with elastic logo band</li>
<li>Designed &amp; uniquely fit to flatter every size</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Women:Tops:Long Sleeve,TRUE
w3637r-mesh-haute-summer-long-sleeve-black,,,,,
w3637r-mesh-haute-summer-long-sleeve-black,,,,,
w3637r-mesh-haute-summer-long-sleeve-black,,,,,
w3637r-mesh-haute-summer-long-sleeve-black,,,,,
w3637r-mesh-haute-summer-long-sleeve-black,,,,,
w1421r-ribbed-sweetheart-short-sleeve-red-hot-summer,Ribbed Sweetheart Short Sleeve - Red Hot Summer,"<p>Pin up-inspired perfection for on the mat or off duty. Keep things classic in the Ribbed Sweetheart Short Sleeve, with a balconette bust, short sleeves, contoured front seams and built-in cups for light support. Match it up with Goddess Leggings for a complete look or rock this ribbed top solo.</p>
<ul>
<li>Cropped, ribbed short sleeve tee with sweetheart neckline</li>
<li>Made from contouring, ribbed performance fabric</li>
<li>Built-in cups for light support</li>
<li>Designed &amp; uniquely fit to flatter every size</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Women:Tops:Short Sleeve,TRUE
w1421r-ribbed-sweetheart-short-sleeve-red-hot-summer,,,,,
w1421r-ribbed-sweetheart-short-sleeve-red-hot-summer,,,,,
w1421r-ribbed-sweetheart-short-sleeve-red-hot-summer,,,,,
w1421r-ribbed-sweetheart-short-sleeve-red-hot-summer,,,,,
w3596r-alosoft-hooded-runner-long-sleeve-pink-fuchsia,Alosoft Hooded Runner Long Sleeve - Pink Fuchsia,"<p>Hit your stride in the Alosoft Hooded Runner Long Sleeve. With 4-way stretch, custom cinching at hood, thumbholes, and a super-soft feel, it’s designed to keep you comfy on-the-move. Elevated seam detailing seals the deal.</p>
<ul>
<li>Super-soft performance Alosoft</li>
<li>Bungee detail at hood for custom cinching</li>
<li>Thumbholes</li>
<li>Designed &amp; uniquely fit to flatter every size</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Women:Tops:Long Sleeve,TRUE
w3596r-alosoft-hooded-runner-long-sleeve-pink-fuchsia,,,,,
w3596r-alosoft-hooded-runner-long-sleeve-pink-fuchsia,,,,,
w3596r-alosoft-hooded-runner-long-sleeve-pink-fuchsia,,,,,
w3596r-alosoft-hooded-runner-long-sleeve-pink-fuchsia,,,,,
w3596r-alosoft-hooded-runner-long-sleeve-pink-fuchsia,,,,,
w9365r-seamless-ribbed-bra-hot-cocoa,Seamless Ribbed Bra - Hot Cocoa,"<p>So lightweight. So breathable. So comfy. The Seamless Ribbed Bra is the second-skin bra you’ve been looking for, with a classic racerback, a ribbed texture and versatility for practice &amp; pavement. Keep all-day cool with your fave Seamless bottom.</p>
<ul>
<li>Seamless ribbed performance fabric</li>
<li>Scoop neckline &amp; racerback</li>
<li>Light-to-medium support for studio &amp; street</li>
<li>Designed &amp; uniquely fit to flatter every size</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Women:Bras,TRUE
w9365r-seamless-ribbed-bra-hot-cocoa,,,,,
w9365r-seamless-ribbed-bra-hot-cocoa,,,,,
w9365r-seamless-ribbed-bra-hot-cocoa,,,,,
w9365r-seamless-ribbed-bra-hot-cocoa,,,,,
w9365r-seamless-ribbed-bra-hot-cocoa,,,,,
a0274u-houndstooth-headband-white-black,Houndstooth Headband - White/Black,"<p>Handle sweat like a pro with the ultra-light Houndstooth Headband. It’s made with a no-fuss, comfy &amp; breathable jacquard fabric and keeps hair securely in place, so you can focus on your practice.</p>
<ul>
<li>No-slip grips</li>
<li>Soft &amp; breathable jacquard fabric</li>
<li>On-trend Houndstooth print</li>
</ul>",,Women:Accessories:Hair Management:Headband,TRUE
a0274u-houndstooth-headband-white-black,,,,,
a0274u-houndstooth-headband-white-black,,,,,
a0274u-houndstooth-headband-white-black,,,,,
w4400r-contour-jacket-white,Contour Jacket - White,"<p>This is what peak performance looks like: a fitted, high-collar jacket designed to take you from studio to street in any weather. Lightweight &amp; warming, with elevated seam design — the Contour Jacket is perfect solo or layered under your fave Alo outerwear.</p>
<ul>
<li>Soft, lightweight Airbrush</li>
<li>Zippered sleeve &amp; side pockets</li>
<li>Designed &amp; uniquely fit to flatter every size</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Women:Outerwear:Jackets,TRUE
w4400r-contour-jacket-white,,,,,
w4400r-contour-jacket-white,,,,,
w4400r-contour-jacket-white,,,,,
w4400r-contour-jacket-white,,,,,
w4400r-contour-jacket-white,,,,,
w4400r-contour-jacket-white,,,,,
w4400r-contour-jacket-white,,,,,
w7223r-praia-bottom-black,Alo x Tropic of C Praia Bottom - Black,"<p>Your booty deserves only the best, so we created it. The Alo x Tropic of C Praia Bottom features cheeky coverage and adjustable side ties for a custom fit. Channel your inner Candice Swanepoel and show off this low-rise bikini bottom staple at the pool, beach or wherever you are this summer.</p>",,Women:Swimwear:Bottoms,TRUE
w7223r-praia-bottom-black,,,,,
w7223r-praia-bottom-black,,,,,
w7223r-praia-bottom-black,,,,,
w7223r-praia-bottom-black,,,,,
w7223r-praia-bottom-black,,,,,
w7223r-praia-bottom-black,,,,,
w7223r-praia-bottom-black,,,,,
w7223r-praia-bottom-black,,,,,
w3550rg-accolade-hoodie-tile-blue,Accolade Hoodie - Tile Blue,"<p>Street meets luxe, for practice &amp; all your other plans. The Accolade Hoodie is a wear-right-now, love-forever superstar thanks to fresh, chrome Alo logo and tipped drawstrings that instantly elevate this classic, oversized look.</p>
<ul>
<li>Kangaroo pocket &amp; bold hood</li>
<li>For working out and wearing out</li>
<li>Designed &amp; uniquely fit to flatter every size</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Women:Outerwear:Coverups:Hoodies,TRUE
w3550rg-accolade-hoodie-tile-blue,,,,,
w3550rg-accolade-hoodie-tile-blue,,,,,
w3550rg-accolade-hoodie-tile-blue,,,,,
w3550rg-accolade-hoodie-tile-blue,,,,,
w3550rg-accolade-hoodie-tile-blue,,,,,
w3550rg-accolade-hoodie-tile-blue,,,,,
w3550rg-accolade-hoodie-tile-blue,,,,,
w3550rg-accolade-hoodie-tile-blue,,,,,
w3550rg-accolade-hoodie-tile-blue,,,,,
w3550rg-accolade-hoodie-tile-blue,,,,,
w3550rg-accolade-hoodie-tile-blue,,,,,
m1147r-amplify-seamless-short-sleeve-tee-dark-navy,Amplify Seamless Short Sleeve Tee - Dark Navy,"<p>Want to take your practice to the next level? No sweat. The Amplify Seamless Short Sleeve Tee has 4-way stretch and wicks moisture away while you work. Seamless fabric ensures a breathable, smooth, easy wear. </p>
<ul>
<li>Seamless, slim fit</li>
<li>4-way-stretch fabric for a move-with-you feel</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Men:Tops:Short Sleeves,TRUE
m1147r-amplify-seamless-short-sleeve-tee-dark-navy,,,,,
m1147r-amplify-seamless-short-sleeve-tee-dark-navy,,,,,
m1147r-amplify-seamless-short-sleeve-tee-dark-navy,,,,,
m1147r-amplify-seamless-short-sleeve-tee-dark-navy,,,,,
w4443r-night-life-bomber-black,Night Life Bomber - Black,"<p>Got plans tonight? If not, you’ll want to make some — any excuse to show off the Night Life Bomber in supple, vegan leather. Two zippered side pockets, ribbed sleeve &amp; hem details, and bomber styling give street appeal to this luxe, drapey look. Wear it snapped at the collar over a statement bra or zip it up to keep out the chill.</p>
<ul>
<li>Vegan leather bomber jacket with draped back</li>
<li>Snap collar and zippered side pockets</li>
<li>Designed &amp; uniquely fit to flatter every size</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Women:Outerwear:Jackets,TRUE
w4443r-night-life-bomber-black,,,,,
w4443r-night-life-bomber-black,,,,,
w4443r-night-life-bomber-black,,,,,
w4443r-night-life-bomber-black,,,,,
w4443r-night-life-bomber-black,,,,,
w4443r-night-life-bomber-black,,,,,
w4443r-night-life-bomber-black,,,,,
w4443r-night-life-bomber-black,,,,,
w4443r-night-life-bomber-black,,,,,
b2m09g-hydration-bundle-ecomm-gwp-alo-scent,Hydration Bundle (U.S. Only),<p>Sweet! Your order qualifies for 3 FREE gifts from the Alo Glow System</p>,,Internal,TRUE
w3590r-alosoft-protection-turtleneck-steel-blue,Alosoft Protection Turtleneck - Steel Blue,"<p>The epic, ultra-versatile Alosoft Protection Turtleneck is a year round fave, thanks to velvety, warming-yet-breathable Alosoft. Turn up the heat in hot yoga or layer up on a cold day with a handy, extra-long turtleneck for extra warmth. Pair this full-length top with matching Alosoft leggings for a perf studio-to-street look.</p>
<ul>
<li>Velvety, breathable Alosoft</li>
<li>Fitted, full-length top</li>
<li>Extended turtleneck adds warmth</li>
<li>Designed &amp; uniquely fit to flatter every size</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Women:Tops:Long Sleeve,TRUE
w3590r-alosoft-protection-turtleneck-steel-blue,,,,,
w3590r-alosoft-protection-turtleneck-steel-blue,,,,,
w3590r-alosoft-protection-turtleneck-steel-blue,,,,,
w3590r-alosoft-protection-turtleneck-steel-blue,,,,,
w3550rg-accolade-hoodie-raisin,Accolade Hoodie - Raisin,"<p>Street meets luxe, for practice &amp; all your other plans. The Accolade Hoodie is a wear-right-now, love-forever superstar thanks to fresh, chrome Alo logo and tipped drawstrings that instantly elevate this classic, oversized look.</p>
<ul>
<li>Kangaroo pocket &amp; bold hood</li>
<li>For working out and wearing out</li>
<li>Designed &amp; uniquely fit to flatter every size</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Women:Outerwear:Coverups:Hoodies,TRUE
w3550rg-accolade-hoodie-raisin,,,,,
w3550rg-accolade-hoodie-raisin,,,,,
w3550rg-accolade-hoodie-raisin,,,,,
w3550rg-accolade-hoodie-raisin,,,,,
w3550rg-accolade-hoodie-raisin,,,,,
w3550rg-accolade-hoodie-raisin,,,,,
m6101r-ripstop-7-on-set-short-dusty-yellow,Ripstop 7” On-Set Short - Dusty Yellow,"<p>The Ripstop 7” On-Set Short, made from cooling, lightweight ripstop fabric, is built to excel through the hardest workouts and push the limit. Morning runs are a breeze in this closet staple, thanks to light, lining-free construction, and side-slit styling. Wear it solo or link up with a tank or hoodie to complete your look.</p>
<ul>
<li>Easy styling with handy features</li>
<li>Performance engineered</li>
<li>Odor-and water-resistant</li>
<li>Designed &amp; uniquely fit for every size</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Men:Shorts:Shorts,TRUE
m6101r-ripstop-7-on-set-short-dusty-yellow,,,,,
m6101r-ripstop-7-on-set-short-dusty-yellow,,,,,
m6101r-ripstop-7-on-set-short-dusty-yellow,,,,,
m6101r-ripstop-7-on-set-short-dusty-yellow,,,,,
u3018rg-accolade-crew-neck-pullover-dusty-yellow-mens,Accolade Crew Neck Pullover - Dusty Yellow,"<p>Our Accolade hoodies and sweats keep selling out, so we made more options. Meet the Accolade Crew Neck Pullover, a his-hers (and theirs) hero made from ultra soft diagonal French terry. Pair it up with matching sweats for a chill look for street or lounge.</p>
<ul>
<li>Super-soft diagonal French terry</li>
<li>For chill time or to-and-from</li>
<li>Designed &amp; uniquely fit for every size</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Men:Outerwear:Coverups:Hoodies,TRUE
u3018rg-accolade-crew-neck-pullover-dusty-yellow-mens,,,,,
u3018rg-accolade-crew-neck-pullover-dusty-yellow-mens,,,,,
u3018rg-accolade-crew-neck-pullover-dusty-yellow-mens,,,,,
u3018rg-accolade-crew-neck-pullover-dusty-yellow-mens,,,,,
u3018rg-accolade-crew-neck-pullover-dusty-yellow-mens,,,,,
u3018rg-accolade-crew-neck-pullover-dusty-yellow-mens,,,,,
w3601r-alosoft-crop-finesse-long-sleeve-cantaloupe,Alosoft Crop Finesse Long Sleeve - Cantaloupe,"<p>From warm-up to workout to lounge, the Alosoft Crop Finesse Long Sleeve has your back. Yoga-level performance, super-soft feel, snug silhouette, check.</p>
<ul>
<li>Super-soft performance Alosoft</li>
<li>On-trend cropped silhouette</li>
<li>Designed &amp; uniquely fit to flatter every size</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Women:Tops:Long Sleeve,TRUE
w3601r-alosoft-crop-finesse-long-sleeve-cantaloupe,,,,,
w3601r-alosoft-crop-finesse-long-sleeve-cantaloupe,,,,,
w3601r-alosoft-crop-finesse-long-sleeve-cantaloupe,,,,,
w3601r-alosoft-crop-finesse-long-sleeve-cantaloupe,,,,,
w3601r-alosoft-crop-finesse-long-sleeve-cantaloupe,,,,,
w3601r-alosoft-crop-finesse-long-sleeve-cantaloupe,,,,,
